,country,year,type,TN,TP,accuracy
5092,PL,2014,DT,0.6912010705921713,0.23356231599607458,0.5748502994011976
5097,PL,2014,DT,0.6912010705921713,0.23356231599607458,0.5748502994011976
5093,PL,2014,LDA,0.6912010705921713,0.23356231599607458,0.5748502994011976
5098,PL,2014,LDA,0.6912010705921713,0.23356231599607458,0.5748502994011976
5091,PL,2014,LR,0.6912010705921713,0.23356231599607458,0.5748502994011976
5096,PL,2014,LR,0.6912010705921713,0.23356231599607458,0.5748502994011976
5090,PL,2014,LR - Youden's J,0.8070672713529856,0.4776064610866373,0.5748502994011976
5095,PL,2014,LR - Youden's J,0.8070672713529856,0.4776064610866373,0.5748502994011976
5094,PL,2014,NB,0.6912010705921713,0.23356231599607458,0.45583832335329344
5099,PL,2014,NB,0.6912010705921713,0.23356231599607458,0.45583832335329344
5102,PL,2015,DT,0.6819849729163027,0.24922440537745605,0.572678594749902
5107,PL,2015,DT,0.6819849729163027,0.24922440537745605,0.572678594749902
5103,PL,2015,LDA,0.6819849729163027,0.24922440537745605,0.572678594749902
5108,PL,2015,LDA,0.6819849729163027,0.24922440537745605,0.572678594749902
5101,PL,2015,LR,0.6819849729163027,0.24922440537745605,0.572678594749902
5106,PL,2015,LR,0.6819849729163027,0.24922440537745605,0.572678594749902
5100,PL,2015,LR - Youden's J,0.7963592718543708,0.48306997742663654,0.572678594749902
5105,PL,2015,LR - Youden's J,0.7963592718543708,0.48306997742663654,0.572678594749902
5104,PL,2015,NB,0.6819849729163027,0.24922440537745605,0.44834791693874887
5109,PL,2015,NB,0.6819849729163027,0.24922440537745605,0.44834791693874887
5112,PL,2016,DT,0.6576107182731671,0.31038374717832956,0.5715085362440526
5117,PL,2016,DT,0.6576107182731671,0.31038374717832956,0.5715085362440526
5113,PL,2016,LDA,0.6698920729438035,0.2793453724604966,0.5730478589420654
5118,PL,2016,LDA,0.6698920729438035,0.2793453724604966,0.5730478589420654
5111,PL,2016,LR,0.6698920729438035,0.2793453724604966,0.5730478589420654
5116,PL,2016,LR,0.6698920729438035,0.2793453724604966,0.5730478589420654
5110,PL,2016,LR - Youden's J,0.7782010582010582,0.5043370508054523,0.5730478589420654
5115,PL,2016,LR - Youden's J,0.7782010582010582,0.5043370508054523,0.5730478589420654
5114,PL,2016,NB,0.6698920729438035,0.2793453724604966,0.4452840750069969
5119,PL,2016,NB,0.6698920729438035,0.2793453724604966,0.4452840750069969
5122,PL,2017,DT,0.5817031070195627,0.49777211966900065,0.5622697126013264
5127,PL,2017,DT,0.5817031070195627,0.49777211966900065,0.5622697126013264
5123,PL,2017,LDA,0.8705408515535098,0.10630171865054105,0.6935887988209285
5128,PL,2017,LDA,0.8705408515535098,0.10630171865054105,0.6935887988209285
5121,PL,2017,LR,0.8705408515535098,0.10630171865054105,0.6935887988209285
5126,PL,2017,LR,0.8705408515535098,0.10630171865054105,0.6935887988209285
5120,PL,2017,LR - Youden's J,0.9050563038198278,0.18262411347517732,0.6935887988209285
5125,PL,2017,LR - Youden's J,0.9050563038198278,0.18262411347517732,0.6935887988209285
5124,PL,2017,NB,0.8705408515535098,0.10630171865054105,0.4449521002210759
5129,PL,2017,NB,0.8705408515535098,0.10630171865054105,0.4449521002210759
